Feature,Importance
V14,0.19896499247639524
V10,0.11490164797371474
V4,0.10707353184034478
V12,0.10359965302464917
V17,0.09190134497844261
V3,0.06709463373458356
V11,0.06048167538218303
V16,0.04411749323941095
V2,0.03866336991249045
V9,0.025654202770901368
V7,0.017681728450486336
V21,0.015641594209853827
V18,0.013138200804598233
V8,0.01255612686148841
V27,0.009640266989429325
V5,0.008391041950429624
V19,0.007590811525204131
V13,0.007453186655208048
V20,0.006790818127543723
V26,0.006404759779102891
V1,0.006229436168809486
Amount,0.006116979081420017
V6,0.0053058776592279765
Time,0.004519564148685612
V15,0.004026821042665506
V28,0.004026543675647312
V22,0.003248570354917574
V25,0.0031964564750787553
V23,0.0028616761722533874
V24,0.002726994534833846
